year,county_fips,county_name,yield_bu_acre,ndvi_corn_mean,corn_pixel_count,precip_sum_mm,tmean_c,tmax_c,tmin_c
2021,119,LYON,216.7,0.8099204672669741,16865,342.97746262594194,22.612101523981792,29.310986565777764,15.922168787277906
2022,119,LYON,190.8,0.8057343366942116,16462,203.62534062331503,22.283988341990813,28.725029117079853,15.843089125118391
2023,119,LYON,200.2,0.8179226454380032,16622,274.2725930587309,21.638293787127996,28.15543087519116,15.121299404588417
2010,121,MADISON,124.6,0.7877861172877697,5772,642.2694171203832,23.490226703672832,28.934523540618493,18.046921938253455
2011,121,MADISON,145.1,0.777434387554676,7401,343.5595570572014,23.54081780753399,28.877410264993273,18.205216632662076
2012,121,MADISON,101.4,0.7006165029641164,7061,136.74774707727096,24.074550468342316,31.200878851163232,16.94921977287245
2013,121,MADISON,140.9,0.743474403622079,7172,137.0626217100474,22.221372382602635,28.156281013235574,16.2874564931214
2014,121,MADISON,171.4,0.8197428306323713,7309,495.7210247569882,21.737497583469263,26.96809704925553,16.50789045914682
2015,121,MADISON,169.6,0.8037640020024961,6690,518.548873925921,21.91368404923856,27.19653643823779,16.631831233262517
2016,121,MADISON,185.5,0.8160130146496561,7165,296.4498427570879,23.20597978424868,28.774532437675777,17.638413269650645
2017,121,MADISON,173.1,0.7672596821266803,6906,189.1065557472295,22.870180943708164,29.23068168730303,16.510678386024352
2018,121,MADISON,167.8,0.7729396583098221,7089,393.393186066871,23.377117041065535,29.154753685151952,17.600487864146793
2019,121,MADISON,175.7,0.7921642765252775,6430,298.48701847238243,22.522441016900157,28.045242254607057,16.99974213313455
2020,121,MADISON,172.0,0.7715269471904849,6693,199.46099946235023,23.69819155719764,29.7087935368799,17.68769196949867
2021,121,MADISON,195.6,0.800676434861974,6084,312.95104852453096,23.584892117693457,29.635740528165368,17.59015377125579
2022,121,MADISON,166.9,0.780684932685633,6158,267.006558993357,23.6401630355294,29.816296983595052,17.46417128038152
2023,121,MADISON,202.0,0.8231607148802276,5834,252.4823061293971,22.77944498709033,29.05510210831112,16.50393064362111
2010,123,MAHASKA,116.6,0.7474700325273637,11418,809.0582165713485,23.76426436427389,29.062021582866706,18.467492712580643
2011,123,MAHASKA,165.0,0.7925875784064204,11493,325.79713296749026,24.10001535892969,29.586072238800615,18.614949450213217
2012,123,MAHASKA,133.0,0.7508449902203675,11419,187.87479232249436,24.06369470224101,31.137319825536924,16.991071947242894
2013,123,MAHASKA,168.6,0.7701337729667898,9995,151.3832194790494,22.079412982606065,27.965268263802372,16.194555653208308
2014,123,MAHASKA,189.9,0.8382560977547883,10974,512.3800053853687,21.65768480331037,26.904276845368372,16.412081234013943
2015,123,MAHASKA,190.3,0.8289069689694218,11064,461.56279691677287,21.83091706176136,27.113200003927233,16.54964089616606
2016,123,MAHASKA,204.7,0.829671338765121,11258,351.514987414964,23.306750983451813,29.01361428630605,17.600888909777684
2017,123,MAHASKA,177.2,0.7870300171915563,11334,149.5200135921736,22.650207974551535,29.24462236299794,16.0567922347778
2018,123,MAHASKA,207.7,0.7786759352892054,11126,382.48401660257264,23.312407422355008,29.20943006357842,17.416364814381744
2019,123,MAHASKA,189.9,0.799229284560101,11602,292.27694859036166,22.559233890083604,28.13892925954805,16.979639183944595
2020,123,MAHASKA,180.8,0.7843898583159714,11953,232.23920910770076,23.70366506707921,29.577321122582205,17.830107899780096
2021,123,MAHASKA,200.5,0.8162113401030472,11608,274.93552760254715,23.959113754023196,29.564979621325023,18.153483841248068
2022,123,MAHASKA,186.3,0.8096586876991386,11061,192.767758669796,23.7062038708143,29.7375086185544,17.675040710321934
2023,123,MAHASKA,214.9,0.8359549576094153,11179,239.43800975991772,22.93491713095482,29.090472593105,16.77950303010921
2010,125,MARION,112.7,0.7574809780279768,6741,855.9958130973005,24.117766992261252,29.26971139877309,18.966801126360444
2011,125,MARION,152.6,0.778841549538207,7142,365.2276088625801,24.63182110328528,29.768234261477343,19.49640900475115
2012,125,MARION,115.1,0.740060941029772,6956,184.76385105244873,24.70903139712716,31.42120698514882,17.997842835891564
2013,125,MARION,156.4,0.7638892553231806,7228,157.66496961114618,22.55471840765657,28.135721968749728,16.97471725949862
2014,125,MARION,171.6,0.823427951303788,7127,456.4745041565022,21.97847660482311,27.02788739277673,16.930049335086544
2015,125,MARION,178.1,0.8089008646702175,6849,526.0414235901299,22.14673914439242,27.10075956471598,17.193715094237874
2016,125,MARION,198.0,0.822529015932023,7147,344.4951471388786,23.475150467888493,28.873002526824216,18.07828796291473
2017,125,MARION,185.7,0.7721602122990489,6914,175.17368937496,23.062863524775192,29.29353632902519,16.83318618787846
2018,125,MARION,190.2,0.7701209178473704,6879,346.6395046037954,23.62893500547862,29.333739400795267,17.925129713505395
2019,125,MARION,170.7,0.7980538996950886,6915,323.693944518536,22.673137192231593,27.996592043242902,17.34978320607761
2021,125,MARION,199.1,0.8072158919412179,6451,258.9616873049689,24.16148177249484,29.745742612367405,18.34322495545987
2022,125,MARION,175.2,0.7788377688862359,6630,188.62126873617495,23.73222861491458,29.501643271086003,17.962955532672325
2023,125,MARION,203.7,0.8254470938169491,6307,223.16706000883528,22.828675278200837,28.81331480938403,16.844177998073885
2010,127,MARSHALL,183.3,0.8359725456970479,12861,538.8505080621081,22.92106251334529,28.199771347707127,17.643360211342625
2011,127,MARSHALL,166.3,0.808542462429915,13789,239.57676026590505,22.73902760719888,28.137897706890392,17.34115340058383
